"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"TTUMF895","manuscript","1921","Hilbert, David","Grundlagen der Mathematik","","","","","","","1921","2024-03-02 19:30:04","2024-04-01 17:32:34","","","","","","","","","","","","","","Göttingen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X6GNNX9A","manuscript","1920","Hilbert, David","Logik-Kalkül","","","","","","","1920","2024-03-02 19:30:04","2024-04-01 17:27:25","","","","","","","","","","","","","","Göttingen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GV4VQVKF","bookSection","1935","Bernays, Paul","Hilberts Untersuchungen über die Grundlagen der Arithmetik","David Hilbert – Gesammelte Abhandlungen. Vol 3.","","","","","","1935","2024-03-02 19:30:04","2024-04-01 18:37:08","","196–216","","","","","","","","","","","Springer Verlag","Berlin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XGK3XP2N","journalArticle","1905","Hilbert, David","Über die Grundlagen der Logik und der Arithmetik","","","","","","","1905","2024-03-02 19:30:04","2024-03-02 19:56:48","","","","","","","","","","","","","","","","","","","","","","https://archiv.ub.uni-heidelberg.de/volltextserver/16037/1/hilbert-1904a.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TVH3Q7K7","manuscript","1938","Bernays, Paul","Über die aktuelle Methodenfrage der Hilbertschen Beweistheorie","","","","","","","1938","2024-03-02 19:30:04","2024-03-02 19:51:45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ISQJ4BHW","journalArticle","1900","Hilbert, David","Über den Zahlbegriff","Jahresbericht der Deutschen Mathematiker-Vereinigung","","","","","","1900","2024-03-02 19:30:04","2024-03-02 19:55:28","","180-183","","8","","","","","","","","","","","","","","","","","","https://gdz.sub.uni-goettingen.de/id/PPN37721857X_0008?tify=%7B%22view%22:%22info%22,%22pages%22:%5B184%5D%7D","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R3ASSRGD","journalArticle","1927","Bernays, Paul","Probleme der theoretischen Logik","Unterrichtsblatter fur Mathematik und Naturwissenschaft","","","","","","1927","2024-03-02 19:30:04","2024-03-02 19:39:16","","369–377","","XXXIII","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P3CRXNIW","journalArticle","1922","Hilbert, David","Neubegründung der Mathematik. Erste Mitteilung","Abhandl . aus dem Math. Seminar d.Hamb. Univ","","","","","","1922","2024-03-02 19:30:04","2024-03-02 19:30:04","","157-177","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9T4PTWN4","journalArticle","1901","Hilbert, David","Mathematische Probleme","","","","","","","1901","2024-03-02 19:30:04","2024-03-02 19:30:04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N7I2JJAM","journalArticle","1935","Bernays, Paul","Logical Calculus","","","","","","","1935","2024-03-02 19:30:04","2024-03-02 19:41:11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q874U2G9","manuscript","1917","Hilbert, David","Prinzipien der Mathematik","","","","","","","1917","2024-03-02 19:30:04","2024-04-01 17:26:21","","","","","","","","","","","","","","Göttingen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ARD4VF77","manuscript","1931","Hilbert, David","Ueber die Grundlagen des Denkens","","","","","","","1931","2024-03-02 19:30:04","2024-04-01 17:35:25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GD8KFP55","book","1934","Bernays, Paul; Hilbert, David","Grundlagen der Mathematik, Vol. 2","","","","","","","1934","2024-03-02 19:30:03","2024-03-27 23:19:53","","","","","","","","","","","","","Julius Springer","Berlin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9TDG2KPZ","book","1934","Bernays, Paul; Hilbert, David","Grundlagen der Mathematik, Vol. 1","","","","","","","1934","2024-03-02 19:30:03","2024-03-27 23:19:56","","","","","","","","","","","","","Julius Springer","Berlin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3XKRGUFI","book","1899","Hilbert, David","Grundlagen der Geometrie","","","","","","","1899","2024-03-02 19:30:03","2024-03-02 19:30:03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DP496S8K","manuscript","1931","Hilbert, David","Beweis des Tertium non datur","","","","","","","1931","2024-03-02 19:30:03","2024-04-01 17:43:03","","","","","","","","","","","","","","Göttingen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KDQG9NTI","journalArticle","1923","Bernays, Paul","Erwiederung auf die Note von Herrn Aloys Müller: ‘Über Zahlen als Zeichen’","","","","","","","1923","2024-03-02 19:30:03","2024-03-02 19:38:58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZBHDSS89","journalArticle","1930","Bernays, Paul","Die Philosophie der Mathematik und die Hilbertsche Beweistheorie","Blatter fur deutsche Philosophie","","","","","","1930","2024-03-02 19:30:03","2024-03-02 19:40:38","","326-367","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
